Log for:/Users/peak/polybox/Study/FHNW/FHNW/ipg/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2024-11-08T18:00:47Z
#=#=#=#=# Propagation starts 2024-11-08T18:00:57Z (last step: 10133 msec , total: 10133 msec) 
2024-11-08T18:00:58+00:00 | Lektionen/01. Einführung/Aufgaben/DebianMini-12-Installation-3.0.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1688386687 | e56cebdbc427caf9c99f229089baf5af | 9698778 | 7875961131oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | b909870a-6de6-4ba9-9975-ce1f61cea5b6 | 
 | Lektionen/01. Einführung/Aufgaben | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726057022 | 66e18a3e55c7b | 0 | 7872441216oc641cdd42e0 | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2024-11-08T18:01:01+00:00 | Lektionen/01. Einführung/Videos/ersteschritte-Konsole-2.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1675942523 | 525f478976819034f8531205526eba67 | 709349 | 7872460911oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 9c1b0c51-81ea-4647-9605-3690bd5335db | 
2024-11-08T18:00:59+00:00 | Lektionen/01. Einführung/Videos/DebianMini-12-Installation-3.0.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1688386687 | edc1440ab26fb951aaceb99e59559a5c | 9698778 | 7872462831oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 38e0a1f0-49da-4e8a-8680-9550e30e59ba | 
2024-11-08T18:01:04+00:00 | Lektionen/01. Einführung/01 - IPG - Intro-5.3.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1725984347 | 3a5ab6a750be9f7f7f9a4d4becdf0137 | 15944239 | 7872356366oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | fba36dd1-9c3a-450f-94e6-fdbef76f07de | 
2024-11-08T18:01:01+00:00 | Lektionen/01. Einführung/Videos/utm-debian.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1708260283 | 7b52cf8fb6f6fe43d3ec60690995f0e1 | 27251707 | 7872465531oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | a73d9cdd-0e41-4edf-85c2-1774524d86ca | 
2024-11-08T18:01:14+00:00 | Lektionen/01. Einführung/02 - IPG - Betriebssystem-Rel.5.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1675937838 | 99cc27151d367094d3a700a5ec4e7ab1 | 8345084 | 7872382461oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 66a78a7e-1192-43be-b892-03da266b30b6 | 
2024-11-08T18:01:11+00:00 | Lektionen/01. Einführung/02 - IPG - Betriebssystem-Rel.5.1.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1689945550 | c81eb087a2f39fbd4a52dbad40ebf8c7 | 35386463 | 7872384066oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 2ba5a46d-c0aa-4338-b7b8-25a9dea16b40 | 
2024-11-08T18:01:30+00:00 | Lektionen/01. Einführung/03 - IPG - Linux-Kurzeinführung-5.3.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1726055728 | df55b573b279c8c5d114eccad876ffa9 | 2287388 | 7875822581oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 488abac1-85f4-439c-96ac-879b91ea8902 | 
2024-11-08T18:01:31+00:00 | Lektionen/01. Einführung/04 - IPG - VirtualBox-Tipps-4.1.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1675944566 | 78cd8c12478525c5f9757de0a314d4bc | 4359601 | 7875951921oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | ed84c403-f7f4-4910-be46-ff35f985cd49 | 
